,R0000100,sampleid,race_x,sex_x,fam1,fam2,fam3,fam4,fam5,fam6,fam7,fam8,raceparent,sexparent,sociabilitypchild,sociabilitypadult,rosenbergscore87parent,rosenbergscore06parent,rotterscale14parent,riskaversionparent,riskinfinancialmattersparent,riskinoccupationparent,riskwithhealthparent,riskinmajorlifechangesparent,rotterscale16parent,rotterscale18parent,gradeattendedparent,gradecompletedparent,C0000100,C0000200,race_y,sex_y,dob,yadultid,jobdissatisfaction1,jobdissatisfaction2,jobdissatisfaction3,jobdissatisfaction4,jobdissatisfaction5,incomewages,incomewages1,incomebus,incomewagesafterexp,Y4562700,pearlin1,pearlin2,pearlin3,pearlin4,pearlin5,pearlin6,pearlin7,selfestm1,selfestm2,selfestm3,selfestm4,selfestm5,selfestm6,selfestm7,selfestm8,selfestm9,selfestm10,newexperience,cesd1,cesd2,cesd3,cesd4,cesd5,cesd6,cesd7,cesd8,cesd9,cesd10,cesd11,famatt1,famatt2,famatt3,famatt4,famatt5,famatt6,famatt7,famatt8,famatt9,famatt10,famatt11,famatt12,newexperiencecmplx,reasonsforexperience,age,Self-Esteem,Pearlin,Famattscore,famattmom,sex_2
465,2482,6,3,2,3,3,3,3,3,3,3,3,3,2,2,2,-3.0,23.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,248204,2482,3,1,1987,248204,2,-7,-7,-7,-7,49500,-7,-7,56000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,-7,-7,0,0,0,0,2,1,3,0,0,1,0,4,3,4,3,1,4,4,4,4,3,4,3,-7,9,33,27.0,16.0,41,24,0
466,2483,5,3,2,4,4,4,4,4,4,3,2,3,2,4,3,20.0,20.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,248302,2483,3,2,1994,248302,3,-7,-7,-7,-7,22000,-7,-7,30000,-7,2.0,2.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,3,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,3,2,3,3,4,4,3,2,3,4,3,4,-7,26,24.0,19.0,38,29,1
467,2484,5,3,2,4,3,2,1,3,3,4,3,3,2,4,4,21.0,28.0,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,248402,2484,3,2,1996,248402,1,-7,-7,-7,-7,50000,-7,-7,50000,-7,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,3,1,0,1,1,3,1,3,1,1,1,0,3,2,1,3,2,2,3,3,3,3,4,3,-7,-7,24,26.0,15.0,32,23,1
468,2484,5,3,2,4,3,2,1,3,3,4,3,3,2,4,4,21.0,28.0,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,248403,2484,3,2,1997,248403,2,-7,-7,-7,-7,29000,-7,-7,30000,-7,1.0,1.0,1.0,4.0,1.0,4.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,2,2,0,0,1,0,1,1,2,1,0,1,0,4,4,4,4,4,4,4,3,4,3,4,3,-7,-7,23,26.0,13.0,45,23,1
469,2484,5,3,2,4,3,2,1,3,3,4,3,3,2,4,4,21.0,28.0,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,248404,2484,3,2,2002,248404,-7,-7,-7,-7,-7,0,-7,-7,-7,-7,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2,3,3,0,3,2,3,2,1,0,0,3,0,4,4,3,4,4,4,4,4,3,2,3,3,-7,-7,17,22.0,19.0,42,23,1
470,2492,5,3,2,3,3,2,3,2,3,3,3,3,2,2,3,23.0,20.0,6,-4,-4,-4,-4,-4,-4,-5,-5,-5,249204,2492,3,2,1995,249204,-7,-7,-7,-7,-7,0,-7,-7,65000,-7,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,1,1,1,1,2,2,1,2,4,1,3,-7,25,26.0,15.0,19,22,1
472,2510,5,3,2,8,3,2,3,2,3,3,4,3,2,2,3,29.0,20.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,251002,2510,3,2,1994,251002,1,-7,-7,-7,-7,50000,-7,-7,100000,-7,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,3,1,4,3,4,4,3,2,2,4,4,6,-7,26,33.0,13.0,38,28,1
473,2514,5,3,2,4,4,3,4,2,3,4,3,3,2,4,4,27.0,22.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,251401,2514,3,1,1983,251401,1,-7,-7,-7,-7,75000,-7,-7,35000,-7,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,4,3,4,3,4,4,3,3,2,4,3,4,-7,37,25.0,17.0,40,27,0
474,2523,5,3,2,3,3,2,2,3,2,3,3,3,2,3,3,30.0,25.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,252303,2523,3,1,1983,252303,2,-7,-7,-7,-7,125000,-7,-7,85000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,3,2,3,3,3,3,3,3,2,3,3,5,-1,37,26.0,16.0,35,21,0
475,2529,5,3,2,4,2,2,3,4,3,3,3,3,2,2,3,17.0,14.0,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,252901,2529,3,1,1987,252901,1,-7,-7,-7,-7,50000,-7,-7,-7,-7,1.0,1.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,1,3,2,3,2,3,2,2,2,4,3,-7,9,33,28.0,18.0,30,24,0
476,2530,5,3,2,1,1,2,2,4,1,3,1,3,2,2,4,20.0,14.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,253002,2530,3,2,1996,253002,1,-7,-7,-7,-7,32000,-7,-7,-7,-7,4.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,1,3,0,0,0,0,0,0,3,0,0,0,0,3,3,3,3,1,2,4,3,4,2,4,3,-7,-7,23,32.0,19.0,35,15,1
477,2538,5,3,2,3,3,3,3,3,3,3,3,3,2,3,4,20.0,18.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,253801,2538,3,2,1986,253801,2,-7,-7,-7,-7,25000,-7,-7,80000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,3,2,3,3,2,3,3,3,-7,4,34,25.0,16.0,33,24,1
478,2542,5,3,2,4,4,2,4,3,4,4,3,3,2,2,2,19.0,24.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,254201,2542,3,1,1986,254201,1,1,1,-7,-7,60000,-7,-7,60000,-7,2.0,1.0,2.0,3.0,1.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,3,2,3,3,3,3,3,2,2,4,3,-7,-2,34,27.0,14.0,35,28,0
479,2549,5,3,2,4,4,2,3,3,3,4,3,3,2,3,3,22.0,20.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,254901,2549,3,2,1986,254901,1,2,3,-7,-7,0,-7,6000,0,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,1,4,4,3,4,3,2,2,4,2,-7,2,34,22.0,16.0,37,26,1
480,2552,5,3,2,4,4,2,4,3,3,3,3,3,2,3,4,27.0,30.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,255202,2552,3,1,1995,255202,2,2,-7,-7,-7,24000,-7,-7,12000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,3,4,4,3,3,3,3,2,3,3,7,-7,25,26.0,16.0,39,26,0
481,2558,8,1,2,4,3,2,3,3,3,3,3,1,2,1,3,20.0,25.0,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,255801,2558,1,2,1995,255801,2,-7,-7,-7,-7,2000,-7,-7,-2,-2,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,2,2,3,3,3,3,3,2,2,3,3,5,-7,25,25.0,14.0,32,24,1
482,2558,8,1,2,4,3,2,3,3,3,3,3,1,2,1,3,20.0,25.0,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,255802,2558,1,2,1997,255802,2,3,-7,-7,-7,5600,-7,-7,-7,-7,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3,2,0,1,2,2,3,1,2,1,2,1,1,4,4,1,4,2,4,4,4,3,2,4,3,-7,-7,23,20.0,19.0,39,24,1
483,2559,5,3,2,4,4,1,4,3,4,4,4,3,2,2,2,26.0,25.0,11,-4,-4,-4,-4,-4,-4,-4,-4,-4,255903,2559,3,2,1986,255903,1,-7,-7,-7,-7,2000,-7,-7,14000,-7,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,1,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,3,2,2,4,4,4,1,3,4,3,-7,9,34,31.0,13.0,38,28,1
485,2564,5,3,2,2,2,3,2,2,2,3,2,3,2,4,3,27.0,21.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,256401,2564,3,2,1983,256401,1,4,3,-7,-7,11900,-7,-7,60000,-7,3.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,3,3,2,3,2,3,4,3,5,9,38,29.0,19.0,34,18,1
486,2564,5,3,2,2,2,3,2,2,2,3,2,3,2,4,3,27.0,21.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,256403,2564,3,2,1987,256403,1,-7,-7,-7,-7,55000,-7,-7,70000,-7,2.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,2,4,3,4,3,3,2,3,4,3,-7,-2,34,26.0,13.0,39,18,1
487,2566,5,3,2,4,4,3,3,3,3,3,3,3,2,3,4,22.0,26.0,-5,-5,-5,-5,-5,-5,10,-4,-4,-4,256601,2566,3,2,1986,256601,1,1,-7,-7,-7,20000,-7,-7,40000,-7,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,-7,-7,0,0,1,0,0,1,3,0,0,0,0,4,3,2,3,3,3,3,3,2,3,4,3,-7,2,35,27.0,16.0,36,26,1
488,2569,5,3,2,3,3,3,3,3,3,4,3,3,2,3,4,26.0,26.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,256902,2569,3,2,1986,256902,1,-7,-7,-7,-7,0,-7,-7,55000,-7,1.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,3,2,3,2,2,4,3,2,2,4,1,-7,-7,34,26.0,13.0,30,25,1
489,2570,5,3,2,1,2,2,1,1,2,3,1,3,2,3,2,21.0,21.0,5,-4,-4,-4,-4,-4,-4,-4,-5,-5,257002,2570,3,2,1987,257002,2,-7,-7,-7,-7,40000,-7,-7,80000,-7,1.0,1.0,1.0,4.0,3.0,3.0,1.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,4.0,3.0,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,3,3,3,3,2,2,3,2,-7,9,33,30.0,14.0,32,13,1
490,2573,5,3,2,3,3,2,2,2,3,4,8,3,2,3,3,22.0,28.0,5,-4,-4,-4,-4,-4,-4,-4,-4,-4,257301,2573,3,2,1983,257301,2,-7,-7,-7,-7,-1,-7,-7,-1,-7,1.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,3,3,3,3,3,3,3,1,4,2,5,-2,37,28.0,12.0,34,27,1
491,2577,5,3,2,4,3,3,3,4,4,4,3,3,2,2,2,23.0,20.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,257702,2577,3,2,1982,257702,1,2,-7,-7,-7,75000,-7,-7,-7,-7,2.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,1,4,3,4,4,4,4,4,4,2,5,-7,38,33.0,15.0,42,28,1
492,2599,5,3,2,3,3,2,3,3,3,3,2,3,2,1,2,19.0,21.0,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,259903,2599,3,1,1986,259903,-7,-7,-7,-7,-7,0,-7,-7,0,-7,3.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,1,4,4,4,1,4,3,1,4,4,-7,9,34,14.0,18.0,38,22,0
493,2606,5,3,2,2,2,2,2,2,2,3,2,3,2,2,2,22.0,21.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,260601,2606,3,1,1987,260601,1,-7,-7,-7,-7,112500,-7,-7,0,-7,1.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,2,1,2,2,1,1,2,4,3,-7,9,33,32.0,17.0,24,17,0
494,2626,5,3,2,4,4,2,4,3,3,4,3,3,2,2,4,29.0,20.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,262602,2626,3,2,1997,262602,1,1,2,-7,-7,2000,-7,-7,7000,-7,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,2,2,2,3,2,2,3,0,2,3,2,2,0,4,3,3,4,3,4,4,4,2,3,4,4,-7,-7,23,21.0,19.0,42,27,1
495,2627,5,3,2,2,3,2,3,4,2,3,2,3,2,1,3,20.0,25.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,262701,2627,3,1,1996,262701,-7,-7,-7,-7,-7,0,-7,-7,46000,-7,1.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2,3,0,1,1,1,1,1,3,1,1,1,0,4,4,2,4,3,4,4,3,2,3,4,2,-7,-7,24,24.0,16.0,39,21,0
497,2654,8,1,2,3,3,3,3,3,3,3,3,1,2,1,4,22.0,19.0,7,-4,-4,-4,-4,-4,-4,-4,-4,-4,265402,2654,1,2,1986,265402,1,1,3,-7,-7,15000,-7,-7,-7,-7,3.0,1.0,4.0,4.0,1.0,3.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,1,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,3,3,3,3,3,3,3,3,3,2,-7,9,34,30.0,19.0,37,24,1
498,2663,8,1,2,3,3,2,4,3,3,3,3,1,2,2,2,19.0,16.0,11,-4,-4,-4,-4,-4,-4,-4,-5,-5,266306,2663,1,1,1994,266306,1,1,-7,-7,-7,3900,-7,-7,-7,-7,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,3,2,3,3,3,2,3,3,3,3,2,2,-7,26,24.0,21.0,32,24,0
499,2669,8,1,2,3,2,2,2,3,3,4,3,1,2,2,3,19.0,13.0,-5,-5,-5,-5,-5,-5,-3,-4,-4,-4,266901,2669,1,1,1986,266901,1,-7,-7,-7,-7,100000,-7,-7,-7,-7,2.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,2,2,3,3,3,2,3,3,-7,-7,34,27.0,16.0,32,22,0
500,2675,8,1,2,2,2,3,2,3,2,3,2,1,2,2,2,19.0,16.0,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,267502,2675,1,1,1983,267502,1,1,-7,-7,-7,43000,-7,-7,0,-7,4.0,2.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,3,4,3,4,1,4,4,4,1,4,4,7,10,37,33.0,18.0,40,19,0
501,2675,8,1,2,2,2,3,2,3,2,3,2,1,2,2,2,19.0,16.0,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,267504,2675,1,2,1996,267504,1,1,-7,-7,-7,-2,1,-7,16000,6000,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,3,0,0,0,0,3,0,3,0,0,0,0,3,3,2,3,3,3,3,3,3,3,3,2,-7,-7,24,26.0,16.0,34,19,1
502,2679,8,1,2,4,2,3,4,3,4,4,1,1,2,2,2,19.0,28.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,267904,2679,1,1,1987,267904,2,-7,-7,-7,-7,600,-7,-7,-7,-7,3.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,3,2,3,2,4,2,3,2,3,3,-7,-2,33,24.0,19.0,31,25,0
503,2683,8,1,2,3,4,3,3,4,3,3,3,1,2,4,4,22.0,18.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,268302,2683,1,2,1983,268302,2,-7,-7,-7,-7,30000,-7,-7,70000,-7,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,2,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,3,3,3,3,3,3,4,2,7,-2,37,26.0,16.0,35,26,1
504,2683,8,1,2,3,4,3,3,4,3,3,3,1,2,4,4,22.0,18.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,268305,2683,1,1,1997,268305,1,-7,-7,-7,-7,27000,-7,-7,48000,-7,1.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1,3,0,1,0,0,3,1,3,0,0,0,0,3,3,2,3,3,3,3,2,3,2,4,4,-7,9,24,32.0,15.0,35,26,0
505,2690,8,1,2,4,4,1,3,3,4,4,4,1,2,3,3,21.0,29.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,269002,2690,1,1,1987,269002,1,1,-7,-7,-7,40000,-7,-7,45000,-7,2.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,2,3,3,3,3,2,3,2,-7,8,32,27.0,18.0,32,27,0
506,2691,8,1,2,4,3,3,3,3,3,3,3,1,2,3,4,-3.0,26.0,8,-4,-4,-4,-4,-4,-4,-4,-4,-4,269101,2691,1,2,1986,269101,1,-7,-7,-7,-7,40000,-7,-7,-7,-7,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,4,4,4,4,4,3,3,4,4,2,-7,-7,33,33.0,13.0,44,25,1
507,2692,8,1,2,3,3,3,3,4,3,4,3,1,2,3,3,-3.0,21.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,269203,2692,1,2,2003,269203,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1.0,2.0,1.0,4.0,2.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,2,3,0,0,1,0,1,0,2,0,0,0,0,3,3,3,3,3,3,3,2,3,3,4,3,-7,-7,17,26.0,17.0,36,26,1
508,2699,8,1,2,3,3,3,2,3,3,3,3,1,2,2,1,15.0,23.0,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,269901,2699,1,1,1982,269901,1,-7,-7,-7,-7,48000,-7,-7,20000,-7,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,1,4,1,4,1,4,1,4,1,4,3,7,-7,38,30.0,13.0,32,23,0
509,2699,8,1,2,3,3,3,2,3,3,3,3,1,2,2,1,15.0,23.0,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,269902,2699,1,2,1997,269902,1,1,3,-7,-7,2000,-7,-7,-7,-7,1.0,1.0,1.0,4.0,1.0,4.0,2.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1,3,0,0,1,0,0,1,3,0,0,0,0,4,4,1,4,3,3,4,3,3,2,1,3,-7,-7,23,32.0,14.0,35,23,1
510,2709,8,1,2,3,3,3,2,3,3,3,3,1,2,2,2,20.0,20.0,9,-4,-4,-4,-4,-4,-4,-4,-4,-4,270901,2709,1,1,1983,270901,1,2,-7,-7,-7,24000,-7,-7,13000,-7,1.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,3,4,3,3,3,2,3,2,3,2,7,4,37,26.0,12.0,36,23,0
511,2712,7,2,2,4,3,1,2,4,2,4,1,2,2,2,4,28.0,28.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,271201,2712,2,2,1987,271201,1,2,-7,-7,-7,33000,-7,-7,-7,-7,2.0,1.0,2.0,4.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,4.0,3.0,2.0,4.0,4.0,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,1,4,4,4,4,3,1,3,3,2,-7,1,33,28.0,15.0,37,21,1
513,2729,5,3,2,3,3,3,2,4,3,4,3,3,2,1,1,13.0,27.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,272903,2729,3,2,1996,272903,2,-7,-7,-7,-7,0,-7,-7,0,-7,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,3,3,1,3,3,3,3,1,0,1,3,1,1,3,2,3,3,3,3,3,3,2,3,3,3,-7,-7,24,22.0,20.0,34,25,1
514,2737,5,3,2,4,4,3,4,4,4,4,4,3,2,2,2,25.0,20.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,273702,2737,3,1,1983,273702,1,1,-7,-7,-7,33000,-7,11000,60000,-7,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,1,4,3,4,4,4,2,4,4,3,5,9,38,32.0,10.0,41,31,0
515,2737,5,3,2,4,4,3,4,4,4,4,4,3,2,2,2,25.0,20.0,6,-4,-4,-4,-4,-4,-4,-4,-4,-4,273703,2737,3,1,1987,273703,2,-7,-7,-7,-7,24000,-7,-7,8000,-7,2.0,2.0,1.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,2,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,2,3,3,4,3,4,2,3,4,3,-7,9,33,26.0,17.0,37,31,0
516,2739,6,3,2,4,4,4,4,4,4,4,3,3,2,3,3,30.0,27.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,273902,2739,3,2,1995,273902,2,-7,-7,-7,-7,35000,-7,-7,45000,-7,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3,1,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,2,3,3,2,3,2,2,3,4,2,2,-7,25,22.0,18.0,30,31,1
518,2744,5,3,2,4,4,1,2,4,2,3,2,3,2,2,3,20.0,24.0,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,274401,2744,3,2,1986,274401,2,-7,-7,-7,-7,0,-7,-7,40000,-7,1.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,4,4,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,3,4,4,4,4,4,4,2,4,3,-7,9,34,27.0,16.0,44,22,1
519,2746,5,3,2,3,3,3,3,3,3,3,1,3,2,3,4,26.0,26.0,8,-4,-4,-4,-4,-4,-4,-5,-5,-5,274602,2746,3,1,1982,274602,2,-7,-7,-7,-7,48000,-7,-7,55000,-7,1.0,2.0,2.0,4.0,1.0,3.0,2.0,4.0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,4,4,3,3,3,4,4,3,3,2,3,3,5,3,38,31.0,15.0,39,22,0
520,2748,5,3,2,3,3,2,3,4,3,3,2,3,2,3,3,18.0,19.0,10,-4,-4,-4,-4,-4,-4,-4,-4,-4,274801,2748,3,2,1982,274801,1,-7,-7,-7,-7,30000,-7,-7,90000,-7,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1,3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,2,3,3,2,3,3,3,3,3,4,3,5,9,38,27.0,17.0,35,23,1
